Record ID	list_Keywords
207431327	['career site', 'employee image', 'people @ work']
207431332	['career site', 'employee image', 'people @ work']
207431348	['career site', 'employee image', 'headshots', 'people @ work', 'portraits']
207431356	['career site', 'employee image', 'headshots', 'people @ work', 'portraits']
207432753	['career site', 'employee image', 'headshots', 'hearst magazines', 'magazines', 'people @ work', 'portraits']
207432784	['career site', 'employee image', 'hearst magazines', 'magazines', 'people @ work']
207432786	['career site', 'employee image', 'hearst magazines', 'magazines', 'people @ work']
207432788	['career site', 'employee image', 'hearst magazines', 'magazines', 'people @ work']
207432796	['career site', 'employee image', 'hearst magazines', 'hearst tower', 'magazines', 'people @ work']
207432797	['career site', 'employee image', 'hearst magazines', 'hearst tower', 'magazines', 'people @ work']
207432881	['career site', 'employee image', 'hearst health', 'people @ work']
207432894	['career site', 'employee image', 'hearst health', 'people @ work']
207432937	['career site', 'employee image', 'hearst health', 'people @ work']
207432942	['career site', 'employee image', 'hearst health', 'people @ work']
207432947	['career site', 'employee image', 'hearst health', 'people @ work']
207432949	['career site', 'employee image', 'headshots', 'hearst health', 'people @ work', 'portraits']
207891158	['annual', 'annual 2019', 'hearst television', 'people @ work', 'television']
207921642	['events', 'people @ work', 'srs']
207921643	['events', 'people @ work', 'srs']
207921644	['events', 'people @ work', 'srs']
207921645	['events', 'people @ work', 'srs']
207921646	['events', 'people @ work', 'srs']
207921647	['events', 'people @ work', 'srs']
207921648	['events', 'people @ work', 'srs']
207921649	['events', 'people @ work', 'srs']
207921650	['events', 'people @ work', 'srs']
207921651	['events', 'people @ work', 'srs']
207921652	['events', 'people @ work', 'srs']
207921653	['events', 'people @ work', 'srs']
207921654	['events', 'people @ work', 'srs']
207921655	['events', 'people @ work', 'srs']
207921656	['events', 'people @ work', 'srs']
207921657	['events', 'people @ work', 'srs']
207921658	['events', 'people @ work', 'srs']
207921659	['events', 'people @ work', 'srs']
207921660	['events', 'people @ work', 'srs']
207921661	['events', 'people @ work', 'srs']
207921662	['events', 'people @ work', 'srs']
207921663	['events', 'people @ work', 'srs']
207921664	['events', 'people @ work', 'srs']
207921665	['events', 'people @ work', 'srs']
207921666	['events', 'people @ work', 'srs']
207921667	['events', 'people @ work', 'srs']
207921668	['events', 'people @ work', 'srs']
207921669	['events', 'people @ work', 'srs']
207921670	['events', 'people @ work', 'srs']
207921671	['events', 'people @ work', 'srs']
207921672	['events', 'people @ work', 'srs']
207921673	['events', 'people @ work', 'srs']
207921974	['annual', 'annual 2019', 'hearst magazines', 'magazines', 'people @ work']
207921994	['events', 'fab', 'frank bennack', 'leave something on the table', 'people @ work']
207921995	['events', 'people @ work']
207921996	['events', 'people @ work']
207921997	['events', 'people @ work']
207993765	['hearst television']
207993767	['hearst television']
207993773	['hearst television']
207993776	['hearst newspapers']
207993778	['hearst television']
207993781	['hearst television']
207993784	['hearst television']
207993797	['hearst television']
207993798	['hearst television']
207993803	['hearst television']
208008747	['headshots', 'hearst.com', 'portraits']
208008785	['headshots', 'portraits']
208059211	['hearst ranch', 'hearst real estate', 'real estate']
208707856	['corporate']
208707857	['corporate']
208707858	['corporate']
208707859	['corporate']
208707860	['corporate']
208707861	['corporate']
208707862	['corporate']
208707863	['corporate']
208707864	['corporate']
208707865	['corporate']
208707866	['corporate']
208713839	['photography']
208733451	['headshots', 'hearstlab', 'photography', 'portraits']
208735433	['corporate', 'headshots', 'photography', 'portraits']
208755804	['corporate', 'headshots', 'photography', 'portraits']
208759351	['headshots', 'hearstlab', 'portraits', 'scouts']
208759824	['135', 'cattle', 'hearst castle', 'hearst ranch', 'hearst real estate', 'outdoors', 'photography', 'ranch', 'real estate', 'san simeon', 'scenery']
208759825	['135', 'cattle', 'hearst castle', 'hearst ranch', 'hearst real estate', 'outdoors', 'photography', 'ranch', 'real estate', 'san simeon', 'scenery']
208759826	['135', 'cattle', 'hearst castle', 'hearst ranch', 'hearst real estate', 'outdoors', 'photography', 'ranch', 'real estate', 'san simeon', 'scenery']
208759827	['135', 'cattle', 'hearst castle', 'hearst ranch', 'hearst real estate', 'outdoors', 'photography', 'ranch', 'real estate', 'san simeon', 'scenery']
208759828	['135', 'cattle', 'hearst castle', 'hearst ranch', 'hearst real estate', 'outdoors', 'photography', 'ranch', 'real estate', 'san simeon', 'scenery']
208759829	['135', 'cattle', 'hearst castle', 'hearst ranch', 'hearst real estate', 'outdoors', 'photography', 'ranch', 'real estate', 'san simeon', 'scenery']
208759830	['135', 'cattle', 'hearst castle', 'hearst ranch', 'hearst real estate', 'outdoors', 'photography', 'ranch', 'real estate', 'san simeon', 'scenery']
208759831	['135', 'cattle', 'hearst castle', 'hearst ranch', 'hearst real estate', 'outdoors', 'photography', 'ranch', 'real estate', 'san simeon', 'scenery']
